HR,avg,handedness,height,weightcount
1,0.156,R,73,87
49,0.235,R,73,84
58,0.255,R,72,88
101,0.267,R,74,11
7,0.264,R,71,87
4,0.226,R,72,80
38,0.269,R,72,87
54,0.281,L,68,80
2,0.127,R,71,88
25,0.233,L,72,108
12,0.247,L,72,88
118,0.261,L,75,28
9,0.238,R,75,71
1,0.133,R,73,87
20,0.243,L,71,80
130,0.278,L,70,80
21,0.283,R,71,80
40,0.247,R,69,80
103,0.286,L,69,80
12,0.215,R,74,71
40,0.256,R,72,108
121,0.247,R,75,28
122,0.238,R,74,71
40,0.236,R,72,80
17,0.23,B,74,87
379,0.279,R,74,88
23,0.239,R,70,45
191,0.29,R,71,108
49,0.239,R,75,16
74,0.251,B,72,108
65,0.246,R,75,16
24,0.23,L,72,108
26,0.272,L,73,87
30,0.221,R,72,9
122,0.257,B,74,108
14,0.232,R,73,80
121,0.233,L,74,19
2,0.229,R,72,87
50,0.225,R,76,108
42,0.25,L,72,108
27,0.256,B,69,80
65,0.247,R,73,87
12,0.221,R,70,7
173,0.243,R,74,84
43,0.215,R,74,84
113,0.264,R,73,108
9,0.22,R,73,87
14,0.235,L,74,6
17,0.25,R,71,87
12,0.269,R,72,87
348,0.274,R,73,108
21,0.253,B,70,3
22,0.245,R,70,7
24,0.221,R,72,84
26,0.252,R,70,88
5,0.196,L,68,108
7,0.194,L,75,71
12,0.203,L,74,87
46,0.248,L,72,6
1,0.215,R,75,80
147,0.277,L,73,87
29,0.236,B,72,108
124,0.237,R,70,108
8,0.237,B,72,53
12,0.229,L,72,108
42,0.234,R,73,80
25,0.251,R,71,88
2,0.255,R,72,11
3,0.228,R,72,7
36,0.232,L,72,88
165,0.284,L,72,80
3,0.205,L,71,45
166,0.258,R,74,4
242,0.254,R,72,71
76,0.236,R,74,71
79,0.232,R,76,28
4,0.216,R,72,108
27,0.241,R,69,80
4,0.237,B,70,53
23,0.258,R,72,84
24,0.229,L,72,87
70,0.244,R,69,9
22,0.245,R,72,84
267,0.278,R,75,71
92,0.328,L,72,80
6,0.197,R,72,108
195,0.264,R,72,88
56,0.257,L,73,108
234,0.281,R,74,87
51,0.258,L,72,53
41,0.216,L,76,42
33,0.281,L,73,7
4,0.215,R,71,80
306,0.283,L,73,87
166,0.273,R,74,7
390,0.248,L,72,108
31,0.262,R,75,19
118,0.293,L,72,84
6,0.234,B,73,42
113,0.292,R,71,84
241,0.264,L,75,7
5,0.226,R,69,53
20,0.228,R,73,80
39,0.273,R,72,3
9,0.246,L,72,87
29,0.229,R,70,87
12,0.208,R,71,53
50,0.255,L,72,19
27,0.251,B,71,88
58,0.248,R,72,16
30,0.26,L,75,108
14,0.241,R,71,80
77,0.244,R,73,71
2,0.22,R,76,88
59,0.247,R,73,88
7,0.25,R,72,88
197,0.247,L,71,3
2,0.237,R,72,71
6,0.211,R,75,87
2,0.224,R,68,11
28,0.233,R,70,53
13,0.231,B,72,88
112,0.26,R,71,88
56,0.236,R,73,80
26,0.245,B,74,84
22,0.248,L,71,108
19,0.24,L,73,87
6,0.254,L,71,80
86,0.282,R,76,16
13,0.243,R,74,87
23,0.258,R,73,71
240,0.261,R,73,42
292,0.279,L,74,84
7,0.264,L,70,88
200,0.265,L,71,45
27,0.268,L,72,3
42,0.256,L,73,88
134,0.25,R,72,3
108,0.27,R,73,7
219,0.303,L,72,71
6,0.213,R,71,1
5,0.214,R,69,3
256,0.263,R,75,84
2,0.138,R,75,7
1,0.257,R,74,88
9,0.25,R,70,80
20,0.224,R,72,42
19,0.221,R,71,87
77,0.263,L,72,84
34,0.279,R,73,108
122,0.25,R,75,42
16,0.22,L,72,3
18,0.235,R,72,84
29,0.273,L,74,28
7,0.16,R,73,7
163,0.257,B,73,87
5,0.17,R,73,42
207,0.287,R,73,42
15,0.252,R,70,88
338,0.26,R,73,84
6,0.161,R,73,9
15,0.248,R,72,5
9,0.242,L,75,88
7,0.241,L,72,42
18,0.199,R,71,71
73,0.239,L,72,88
26,0.239,R,75,28
164,0.278,L,72,84
4,0.238,L,71,45
255,0.253,L,75,16
68,0.26,R,72,108
193,0.277,R,71,53
55,0.254,R,70,45
23,0.262,R,70,53
12,0.195,L,72,108
7,0.238,R,71,53
2,0.163,R,74,88
98,0.254,L,73,87
13,0.222,R,72,71
5,0.205,R,73,4
100,0.239,L,74,7
20,0.253,R,68,2
91,0.259,L,74,88
1,0.167,L,77,42
102,0.228,R,72,84
13,0.236,L,73,71
7,0.236,B,71,45
6,0.137,L,75,71
61,0.295,L,70,53
153,0.267,L,75,84
14,0.201,L,74,71
37,0.22,R,70,88
452,0.285,L,71,88
43,0.249,B,72,45
43,0.26,R,74,84
20,0.256,R,72,84
11,0.216,R,76,2
16,0.229,R,76,19
64,0.287,R,74,16
4,0.235,R,71,3
6,0.208,R,70,80
65,0.296,R,72,7
84,0.257,L,71,6
53,0.29,B,71,80
32,0.28,R,74,84
91,0.268,L,70,53
60,0.277,R,76,80
20,0.261,B,71,87
79,0.274,R,71,9
39,0.199,R,72,87
10,0.265,R,70,9
30,0.258,R,72,84
56,0.259,R,72,42
5,0.231,B,72,53
11,0.27,R,72,80
17,0.244,L,72,87
27,0.233,R,72,84
13,0.165,R,77,28
66,0.261,R,73,71
10,0.245,R,75,71
3,0.243,L,70,80
21,0.235,R,75,87
2,0.251,R,73,108
32,0.259,R,70,108
11,0.263,R,72,108
39,0.225,R,71,80
1,0.236,R,74,108
7,0.24,R,72,53
13,0.218,R,72,80
25,0.23,R,69,45
109,0.214,R,74,84
16,0.227,R,73,71
100,0.282,L,75,71
96,0.264,L,71,5
36,0.279,L,67,9
4,0.123,R,73,19
17,0.235,R,70,53
95,0.248,R,72,84
73,0.236,R,75,28
16,0.206,B,73,2
5,0.251,R,72,80
116,0.253,L,72,88
14,0.252,B,73,80
40,0.239,L,72,71
63,0.299,L,74,84
27,0.265,R,75,84
13,0.263,B,73,108
80,0.24,L,73,71
14,0.264,L,72,84
53,0.242,L,73,7
31,0.247,R,74,71
25,0.251,R,72,1
12,0.213,R,72,84
77,0.225,R,75,2
26,0.287,R,71,9
4,0.165,R,72,87
4,0.104,B,72,4
7,0.218,R,72,80
39,0.248,L,73,108
68,0.28,R,74,84
17,0.234,R,74,87
13,0.245,R,68,80
23,0.255,R,72,45
160,0.253,R,74,42
5,0.251,B,71,11
11,0.267,R,70,80
131,0.249,L,72,87
52,0.253,L,75,87
27,0.227,B,72,71
174,0.289,L,72,87
22,0.251,R,74,84
22,0.223,R,76,71
2,0.248,R,68,53
13,0.246,R,73,53
30,0.258,B,70,80
13,0.229,R,75,84
13,0.243,R,73,108
271,0.268,R,74,42
11,0.231,R,73,108
268,0.225,R,74,19
10,0.27,R,73,87
188,0.247,L,72,7
10,0.216,R,70,53
15,0.26,B,70,11
12,0.27,L,71,88
146,0.25,L,74,71
27,0.257,L,74,42
7,0.156,R,72,42
24,0.24,R,72,9
31,0.307,L,69,45
77,0.26,L,70,53
41,0.235,L,73,108
41,0.274,R,71,45
15,0.234,R,74,84
20,0.225,R,71,87
32,0.259,L,75,71
66,0.258,R,75,71
19,0.239,R,72,84
196,0.258,R,76,16
159,0.274,R,76,3
29,0.255,R,73,71
218,0.277,R,73,71
14,0.241,R,73,88
9,0.205,R,70,80
33,0.244,R,74,71
3,0.239,R,66,45
8,0.256,L,69,45
10,0.228,R,73,53
117,0.285,R,75,88
23,0.249,R,70,53
18,0.214,R,72,6
22,0.279,R,71,2
272,0.294,R,70,6
200,0.249,L,75,28
11,0.192,R,72,19
30,0.226,L,71,87
17,0.238,R,70,87
81,0.269,R,75,28
40,0.247,L,71,88
242,0.278,R,74,5
6,0.218,R,73,71
16,0.212,R,73,84
33,0.25,B,71,108
6,0.131,R,76,28
16,0.246,L,73,6
38,0.28,R,74,42
82,0.224,L,75,84
40,0.249,R,75,16
139,0.253,L,73,84
37,0.229,R,76,16
20,0.221,L,74,71
162,0.296,L,72,108
123,0.262,L,72,87
80,0.24,R,70,108
14,0.276,L,72,108
203,0.276,L,73,71
20,0.25,R,77,6
15,0.238,R,74,16
13,0.245,B,69,2
1,0.25,R,70,3
26,0.29,L,72,88
201,0.279,R,73,108
35,0.271,L,75,84
18,0.271,L,73,53
127,0.245,R,76,6
2,0.25,R,70,2
245,0.244,R,74,42
77,0.242,R,70,3
13,0.227,L,72,88
6,0.265,B,72,45
307,0.276,R,73,6
86,0.265,L,71,80
26,0.233,R,70,3
76,0.268,R,75,19
82,0.236,R,71,80
2,0.261,L,71,53
235,0.273,L,74,45
44,0.272,R,70,88
93,0.264,B,67,45
1,0.271,L,72,88
38,0.247,R,75,16
21,0.211,L,75,28
48,0.258,R,71,80
14,0.264,L,72,87
23,0.265,R,74,71
113,0.26,L,75,28
36,0.253,R,76,71
40,0.249,R,72,53
56,0.272,R,75,84
12,0.154,R,73,71
85,0.251,R,73,71
44,0.267,R,70,80
80,0.265,R,72,108
563,0.262,L,72,71
7,0.251,L,69,9
3,0.236,B,72,45
12,0.265,L,68,80
14,0.238,R,73,108
27,0.237,R,72,108
72,0.266,L,74,28
12,0.239,R,71,108
11,0.254,B,72,1
59,0.234,B,73,84
8,0.24,R,70,2
42,0.265,B,74,87
34,0.28,L,73,108
268,0.271,L,67,45
35,0.267,B,72,84
106,0.255,L,74,71
61,0.256,R,74,16
14,0.233,B,72,88
12,0.216,L,71,108
12,0.229,L,72,108
7,0.199,R,72,108
69,0.239,R,73,80
6,0.205,B,71,45
14,0.2,R,73,84
27,0.254,R,71,53
52,0.271,L,70,108
84,0.271,R,73,87
6,0.238,L,72,80
20,0.272,L,75,88
224,0.266,R,74,108
121,0.254,L,72,88
26,0.219,R,73,71
1,0.26,L,70,45
112,0.237,L,74,71
133,0.252,L,73,108
52,0.226,R,71,80
17,0.259,L,73,88
41,0.271,R,73,7
130,0.276,R,74,71
3,0.136,R,77,42
32,0.233,R,72,88
86,0.253,L,71,108
19,0.265,L,72,108
107,0.274,R,75,84
5,0.255,B,72,5
24,0.236,R,72,80
21,0.26,R,71,88
10,0.168,R,80,1
19,0.227,L,74,45
121,0.279,R,72,84
78,0.288,R,72,28
15,0.266,L,73,108
10,0.236,R,71,45
57,0.244,R,71,53
13,0.249,R,71,88
14,0.237,R,72,80
7,0.257,R,70,11
153,0.245,B,73,108
17,0.238,B,72,108
7,0.245,R,72,45
1,0.172,R,72,53
22,0.222,R,74,53
2,0.226,R,70,45
5,0.191,L,71,108
6,0.213,R,73,108
39,0.282,R,74,28
21,0.257,B,70,88
30,0.234,L,74,84
31,0.258,L,70,80
7,0.201,L,74,84
5,0.251,R,70,11
3,0.204,R,74,87
215,0.273,R,72,84
8,0.264,L,72,108
93,0.281,R,72,87
5,0.127,B,72,80
90,0.247,L,72,108
99,0.278,L,75,88
25,0.213,R,68,3
389,0.267,R,73,7
49,0.236,R,72,108
8,0.236,B,73,88
31,0.248,R,70,80
45,0.223,R,73,7
42,0.245,B,71,108
37,0.236,R,69,5
8,0.228,R,74,108
27,0.257,B,70,3
14,0.25,R,72,108
27,0.227,L,72,1
20,0.244,R,70,45
7,0.252,R,69,88
3,0.245,B,70,45
5,0.227,R,69,88
2,0.277,B,69,80
6,0.241,L,74,87
130,0.255,R,71,71
189,0.257,R,73,108
19,0.23,R,74,71
36,0.263,L,74,84
248,0.285,B,71,7
252,0.277,L,71,45
8,0.213,R,71,45
25,0.241,R,74,42
163,0.305,R,71,108
105,0.254,R,74,71
130,0.278,L,72,71
50,0.273,R,70,53
10,0.266,R,74,42
4,0.233,R,74,108
80,0.29,L,72,71
8,0.258,L,70,7
15,0.229,R,74,6
354,0.267,R,75,71
2,0.154,L,77,84
20,0.221,R,72,7
8,0.214,R,72,71
20,0.213,R,73,108
76,0.264,L,73,87
7,0.219,B,72,45
45,0.257,L,69,108
9,0.22,R,72,53
1,0.146,R,74,71
7,0.23,L,68,80
123,0.239,L,73,3
199,0.285,R,74,88
11,0.235,R,73,108
31,0.304,R,70,45
6,0.215,R,77,3
9,0.243,L,73,71
237,0.259,R,74,84
41,0.278,R,71,88
96,0.251,L,70,3
20,0.261,R,71,11
28,0.236,R,70,53
110,0.271,L,75,6
138,0.247,R,75,16
7,0.236,R,73,108
34,0.22,R,72,88
22,0.2,R,76,1
1,0.247,R,72,88
146,0.257,R,69,53
16,0.244,B,71,108
111,0.247,R,71,87
204,0.299,R,75,42
34,0.258,L,72,108
8,0.247,L,71,80
23,0.311,L,73,108
36,0.283,R,73,53
80,0.261,L,73,84
339,0.266,L,76,3
12,0.173,R,75,84
83,0.251,R,74,84
153,0.267,L,71,9
1,0.246,R,73,87
9,0.264,R,71,80
34,0.269,R,70,53
251,0.252,R,71,6
325,0.273,R,71,3
102,0.291,R,72,6
98,0.248,R,73,7
21,0.262,R,74,28
24,0.214,L,73,42
5,0.193,R,77,28
27,0.223,R,72,108
57,0.23,R,75,28
33,0.259,L,70,84
5,0.259,B,74,45
5,0.189,R,70,88
6,0.26,R,72,108
55,0.23,R,74,71
253,0.254,R,75,42
94,0.256,R,75,28
115,0.242,R,73,71
102,0.265,R,74,7
5,0.214,R,73,80
219,0.258,L,74,87
5,0.115,L,72,71
24,0.238,L,70,87
24,0.261,L,74,4
23,0.237,B,69,53
46,0.272,R,69,88
46,0.235,R,75,19
2,0.212,L,69,53
147,0.25,L,70,80
23,0.242,R,73,88
8,0.228,R,73,71
16,0.274,L,73,84
81,0.23,R,75,19
6,0.193,R,74,88
21,0.241,R,73,84
155,0.251,R,74,1
117,0.248,R,73,87
78,0.286,R,72,87
3,0.23,R,70,53
36,0.261,R,71,108
75,0.306,L,71,87
5,0.157,R,75,108
18,0.242,R,73,88
69,0.262,R,74,1
64,0.267,B,73,108
31,0.268,R,75,80
22,0.266,R,71,53
116,0.261,R,75,19
5,0.164,R,72,108
8,0.271,L,70,108
78,0.267,R,75,42
1,0.151,R,77,42
37,0.253,L,76,19
81,0.242,L,76,6
65,0.249,R,74,84
12,0.213,R,76,42
66,0.276,R,72,80
61,0.24,R,74,42
55,0.233,L,72,84
90,0.274,L,71,42
314,0.287,B,72,108
136,0.261,R,73,80
123,0.278,R,76,28
160,0.271,B,70,45
5,0.229,L,70,71
33,0.235,L,70,88
351,0.292,R,71,9
17,0.236,R,75,42
3,0.243,R,72,53
475,0.282,L,74,7
13,0.201,L,76,19
35,0.25,R,73,1
87,0.258,L,73,108
17,0.242,R,71,87
1,0.123,R,72,42
33,0.236,R,74,71
93,0.259,B,73,108
20,0.258,R,71,80
90,0.245,B,74,87
91,0.247,R,74,19
52,0.293,L,73,71
7,0.201,R,72,71
6,0.228,B,71,80
95,0.259,R,70,2
155,0.263,R,69,80
6,0.226,R,72,84
1,0.132,R,72,2
291,0.25,R,70,45
6,0.241,R,72,84
151,0.265,R,73,84
1,0.24,R,70,1
548,0.267,R,74,71
139,0.275,L,72,80
29,0.243,R,71,45
6,0.26,L,71,87
54,0.255,L,74,28
79,0.259,R,70,45
12,0.26,R,70,4
3,0.251,R,72,87
134,0.257,L,76,71
14,0.237,L,71,108
73,0.242,R,74,71
18,0.237,L,73,108
9,0.226,R,72,88
15,0.265,L,74,87
252,0.297,R,74,2
51,0.259,R,73,42
148,0.271,R,70,53
61,0.212,R,74,16
41,0.242,R,65,1
14,0.247,R,74,88
16,0.242,R,70,1
31,0.25,L,72,4
24,0.274,B,72,87
182,0.279,L,74,108
2,0.207,R,71,80
25,0.251,R,75,19
332,0.268,R,73,84
9,0.133,R,71,87
1,0.274,B,72,1
45,0.253,R,72,87
101,0.25,R,72,87
21,0.243,R,74,42
61,0.263,R,73,9
4,0.237,R,71,88
7,0.237,L,73,80
31,0.234,R,73,87
28,0.246,R,74,42
29,0.266,R,74,28
11,0.223,R,69,80
4,0.248,R,71,88
6,0.25,B,74,80
14,0.248,R,74,108
25,0.259,R,73,19
72,0.247,B,74,71
112,0.246,R,73,88
15,0.229,B,74,5
13,0.217,B,71,53
3,0.22,R,73,53
176,0.261,R,73,80
179,0.264,R,74,42
382,0.298,R,74,42
1,0.237,R,69,9
22,0.246,R,71,45
4,0.215,L,73,5
2,0.27,L,70,45
85,0.238,L,71,71
39,0.252,R,70,87
62,0.22,L,73,88
14,0.231,R,74,84
45,0.268,B,71,88
3,0.239,R,67,2
118,0.257,R,71,9
68,0.253,L,73,3
316,0.261,R,70,87
3,0.215,R,71,84
65,0.255,B,73,84
59,0.288,R,72,42
46,0.263,R,72,88
201,0.241,R,72,84
14,0.267,R,70,88
16,0.245,R,71,87
14,0.217,B,74,7
21,0.224,L,74,42
200,0.262,R,75,1
11,0.248,R,70,87
34,0.233,R,73,87
30,0.226,R,74,84
43,0.257,R,72,108
32,0.259,L,72,80
18,0.268,L,73,108
166,0.246,L,73,87
12,0.248,L,74,87
130,0.244,L,75,3
70,0.289,B,74,87
22,0.283,R,73,84
10,0.233,R,72,88
68,0.255,R,75,71
208,0.261,L,76,42
9,0.241,B,69,45
95,0.243,L,72,71
8,0.247,R,71,1
13,0.243,R,73,6
241,0.298,L,74,53
36,0.254,R,75,108
122,0.24,R,74,42
4,0.253,R,71,53
62,0.265,L,76,19
7,0.245,L,70,9
3,0.234,R,74,108
13,0.224,L,71,2
26,0.251,L,70,108
24,0.243,R,72,87
26,0.22,R,71,5
30,0.257,L,71,53
4,0.232,R,72,88
9,0.255,L,70,7
19,0.27,R,71,80
184,0.295,R,72,1
131,0.239,R,74,84
30,0.215,R,73,9
32,0.225,R,72,87
2,0.24,B,72,3
25,0.266,L,70,3
20,0.201,L,76,4
9,0.248,R,72,53
14,0.188,R,73,84
31,0.232,B,74,84
7,0.169,R,73,108
10,0.268,L,70,88
12,0.254,L,73,88
28,0.269,L,72,88
86,0.263,R,70,80
38,0.244,R,70,84
166,0.264,R,75,87
1,0.162,R,75,28
7,0.275,L,69,53
26,0.232,R,73,108
13,0.256,L,72,108
109,0.26,R,70,88
